Адрес дома;Номер подъезда;Код домофона 1;Код домофона 2
г. Москва, аллея. Витте, д. 4, к. 1;4;4325;
г. Москва, б-р. Адмирала Ушакова, д. 11;1;;11к,1к6207,12к6347
г. Москва, б-р. Адмирала Ушакова, д. 11;2;;1к1122,74 к 3329,74к3329
г. Москва, б-р. Адмирала Ушакова, д. 11;3;;136к266,116к514,127к555,119к3171,к132к196,137к109,139к845
г. Москва, б-р. Адмирала Ушакова, д. 11;4;;171 в,р423
г. Москва, б-р. Адмирала Ушакова, д. 11;6;;305,387,313
г. Москва, б-р. Адмирала Ушакова, д. 11;7;;317к0624,340к1411,323,326к6127,329к0797,325к6051,353к4281,311к8188
г. Москва, б-р. Адмирала Ушакова, д. 14;2;;147в,154 в,72в
г. Москва, б-р. Адмирала Ушакова, д. 14;3;;с240
г. Москва, б-р. Адмирала Ушакова, д. 14;5;;339в
г. Москва, б-р. Адмирала Ушакова, д. 18;1;100в;28,в,72в,75в,77в,36 в,74,061,к18,73,82в,85в
г. Москва, б-р. Адмирала Ушакова, д. 18;2;;090,075,074и453,091,096,069в,078,088,097
г. Москва, б-р. Адмирала Ушакова, д. 18;3;181к4601;192,186,186в
г. Москва, б-р. Адмирала Ушакова, д. 18;4;265к1975;265к1975,к789,218к2356,236к0039,232к6108
г. Москва, б-р. Адмирала Ушакова, д. 18;5;;к789,#789
г. Москва, б-р. Адмирала Ушакова, д. 2;1;15к5159;13к4238,15к5159,36к2024
г. Москва, б-р. Адмирала Ушакова, д. 2;2;;60,16в
г. Москва, б-р. Адмирала Ушакова, д. 2;3;196к1339;196к1339,141к4774,147к8123,141 к 4774,137к6844
г. Москва, б-р. Адмирала Ушакова, д. 2;4;;254к94,243.7792,231к9517,208к4360,205к1882,236к4655,244к2242,197к9401
г. Москва, б-р. Адмирала Ушакова, д. 3;1;9753;1,1к1111
г. Москва, б-р. Адмирала Ушакова, д. 3;2;9753;2к111,1к1111,1к1111,к1к1111,2в11111,1к41,1366,2к1111,2к1111
г. Москва, б-р. Адмирала Ушакова, д. 3;3;;9753,9723
г. Москва, б-р. Адмирала Ушакова, д. 5;1;;64,9к2689,229,025,11 в.
г. Москва, б-р. Адмирала Ушакова, д. 5;2;;50в,63в,86з,59 ,в94
г. Москва, б-р. Адмирала Ушакова, д. 5;3;;131в,1941 ,155в,к1941
г. Москва, б-р. Адмирала Ушакова, д. 5;4;;203к2025,101 ,185к2093,194к1178,196к9084
г. Москва, б-р. Адмирала Ушакова, д. 5;5;;29в,29в29,229,229в
г. Москва, б-р. Адмирала Ушакова, д. 8;3;192к1802;
г. Москва, б-р. Адмирала Ушакова, д. 9;1;;62к2279,47к2583,19к4710,1,76к3280
г. Москва, б-р. Адмирала Ушакова, д. 9;3;;,178в
г. Москва, б-р. Адмирала Ушакова, д. 9;5;;366в,372-2
г. Москва, проезд. Джанкойский, д. 3;1;;6248
г. Москва, проезд. Джанкойский, д. 3;3;;1234
г. Москва, проезд. Джанкойский, д. 5;1;;10р100,10#100,10#100
г. Москва, проезд. Джанкойский, д. 5;2;;# 423
г. Москва, проезд. Джанкойский, д. 5;3;;46р220
г. Москва, проезд. Плавский, д. 1;1;;3 ,8,23,1
г. Москва, проезд. Плавский, д. 1;2;;00,109 ,123в.
г. Москва, проезд. Плавский, д. 1;4;;80
г. Москва, проезд. Плавский, д. 2;1;33#815;
г. Москва, проезд. Плавский, д. 2;3;#4230;
г. Москва, проезд. Плавский, д. 2, к. 1;1;29#190;0р209,29р190,0#209,29#190
г. Москва, проезд. Плавский, д. 4;1;;10,к52,122,107
